#pixel_time[s]	V[V]	I[A]
0.079925537109375	0.20199999999999999	0.35513309777502444
0.14156484603881836	1.7405000000000002	0.04845310918693402
0.20513033866882324	1.1375	0.5937345153635872
0.2679619789123535	0.247	0.4779697851775655
0.3300769329071045	3.359	0.8458637338144047
0.39191579818725586	2.5829999999999997	0.40162822009433075
0.45395970344543457	3.795	0.9886655458163591
0.5155367851257324	4.8965	0.9332547116302912
0.5786106586456299	4.1594999999999995	0.86358572285978
0.6422688961029053	1.0015	0.6291973925763724
0.7051293849945068	1.517	0.7504844720964355
0.7682445049285889	3.2185	0.2512920394820215
0.831723690032959	4.785	0.08505444009650442
0.8956148624420166	2.9215	0.19626796055063034
0.9579548835754395	2.826	0.20663414517928458
1.0189571380615234	0.2465	0.27727618685917566
1.082801342010498	2.3215	0.41700259328900857
1.1449759006500244	0.313	0.4248419213713851
1.2079455852508545	4.7255	0.04170229291950267
1.2712664604187012	0.2695	0.13372316318256183
1.3333067893981934	4.381	0.8488120103094118
1.396111011505127	1.815	0.7198457520421052
1.459984302520752	4.397	0.7049021184415857
1.5240089893341064	2.8960000000000004	0.7381861295755002
1.587815761566162	0.5325	0.591479120505969
1.6514887809753418	2.409	0.2108735881247077
1.7149698734283447	2.582	0.2520246939738159
1.7782742977142334	2.5925	0.29869640450222357
1.8406925201416016	1.897	0.524694586890065
1.9034202098846436	3.2095000000000002	0.09725513383532525
1.9662244319915771	4.377	0.7625789135693559
2.028110980987549	3.8765	0.14101076240230925
2.090942859649658	4.994	0.7915244267901749
2.153205156326294	4.9755	0.07505309732718168
2.216949224472046	4.256	0.14311488073161993
2.2800309658050537	1.4105	0.14760694859635004
2.3420777320861816	4.0485	0.031655662023611364
2.404960870742798	0.41250000000000003	0.45092458624269716
2.4688658714294434	0.2155	0.672754006428851
2.531402826309204	1.3375000000000001	0.8834712544635157
2.5933148860931396	3.3855000000000004	0.6443645983465949
2.6569337844848633	2.9825	0.3029376665928485
2.719789981842041	3.8565	0.10532334449810199
2.7823286056518555	0.40099999999999997	0.20393393757363776
2.846184492111206	1.4905	0.3779424810866022
2.9080686569213867	0.4515	0.7628146318928664
2.9709556102752686	3.507	0.4044607188535998
3.034036874771118	2.2205	0.43056351754749955
3.097856044769287	2.281	0.2653011216956219
3.1616973876953125	1.2045	0.776518390144578
3.2252469062805176	3.3979999999999997	0.6652718643738454
3.2887556552886963	4.737	0.34006095482085763
3.351592540740967	4.368	0.902509467694618
3.414120674133301	2.5	0.3818512418495006
3.4759790897369385	1.002	0.3901436292552777
3.5392892360687256	1.366	0.17150455565436118
3.6031885147094727	4.89	0.17495530976703688
3.6670095920562744	2.7305	0.093396120598079
3.7304623126983643	1.099	0.6656069968251777
3.794316530227661	1.0445	0.005969122745956068
3.857478380203247	4.311	0.8138479288649899
3.919870615005493	0.1935	0.7536026301115002
3.9827027320861816	4.894	0.1088311060960494
4.0465428829193115	0.31899999999999995	0.8442396747439691
4.110372066497803	3.586	0.6004660005089842
4.174199104309082	4.3580000000000005	0.025211620636413024
4.236033916473389	0.5865	0.31920187005672485
4.2989184856414795	1.6484999999999999	0.7053970841856607
4.36179256439209	3.0325	0.7391763875035936
4.4236273765563965	4.2735	0.985282842660615
4.486459255218506	4.166	0.22488370306500027
4.549291133880615	3.2415	0.9392823149422602
4.6111297607421875	0.5695	0.5069492177561702
4.673961877822876	4.8795	0.2820077550227116
4.736793279647827	3.9345000000000003	0.8256769500762077
4.797675848007202	4.408	0.7716402101188762
4.860837459564209	1.461	0.3008933857566266
4.923669099807739	3.8735000000000004	0.8171557910420029
4.984506845474243	3.476	0.07011246094473189
5.048303842544556	1.971	0.00573011009529012
5.112132787704468	4.231	0.11057389124588213
5.17297101020813	2.2415	0.1897452281895723
5.235575199127197	2.9654999999999996	0.5054239462369745
5.299405336380005	0.8465	0.9011427272738805
5.360241889953613	0.4445	0.7962268085358728
5.423457145690918	2.2545	0.2201294359798246
5.485292196273804	2.4299999999999997	0.6716809627366238
5.547398328781128	1.0485	0.004025467756445744
5.610230922698975	2.1985	0.10674587396919644
5.6735711097717285	3.744	0.3638708396713004
5.736404657363892	1.7535	0.9835078770432774
5.7982378005981445	3.404	0.762108603229896
5.862084865570068	4.2865	0.5951897959312665
5.922921180725098	0.7625	0.749525369689606
5.985753536224365	2.9099999999999997	0.5765507357064196
6.048585891723633	3.7595	0.5250591272567867
6.11042046546936	3.1530000000000005	0.7212881345972793
6.173252582550049	2.5835000000000004	0.2749189738629165
6.236085414886475	2.7375	0.8277965659275629
6.298916578292847	0.6965	0.4401607993379123
